(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(13.065833333333334, 80.28388888888888)
(13.065555555555557, 80.28388888888888)
(13.065555555555557, 80.28388888888888)
(13.065555555555557, 80.28388888888888)
(13.065555555555557, 80.28388888888888)
(13.065555555555557, 80.28388888888888)
(13.065555555555557, 80.28388888888888)
(13.065555555555557, 80.28388888888888)
(None, None)
(None, None)
(13.01, 80.21416666666667)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(22.271301388888887, 114.15031305555556)
(22.27108638888889, 114.15091805555556)
(22.271036388888888, 114.1508963888889)
(22.27101, 114.15094805555556)
(22.271, 114.15093805555556)
(22.27098638888889, 114.1509513888889)
(22.284198055555557, 114.1635763888889)
(22.284213055555558, 114.16355138888889)
(22.28421638888889, 114.16355472222223)
(22.284249722222224, 114.16348805555556)
(22.284239722222225, 114.16349305555556)
(None, None)
(12.226238055555555, 109.20161305555555)
(12.226224722222222, 109.2016663888889)
(12.226209722222222, 109.20172305555556)
(12.226208055555556, 109.20172638888889)
(10.504818055555555, 107.0057413888889)
(None, None)
(10.505061388888889, 107.00580305555556)
(10.505083055555556, 107.00578138888889)
(1.2347447222222223, 103.91012805555556)
(1.2599947222222223, 103.85824472222221)
(None, None)
(1.261716388888889, 103.859905)
(1.2623930555555556, 103.86113999999999)
(1.2626163888888888, 103.86125638888889)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(1.2843499999999999, 103.86109472222222)
(1.2843530555555553, 103.86106638888889)
(1.2843713888888888, 103.86103638888888)
(1.2844813888888889, 103.86098805555555)
(1.2824513888888889, 103.86342638888888)
(1.2824080555555555, 103.86354499999999)
(1.2821713888888888, 103.863575)
(1.2818130555555556, 103.86434805555555)
(1.28178, 103.86412138888889)
(1.2818180555555554, 103.86413805555554)
(1.281816388888889, 103.86413638888888)
(1.28135, 103.86371305555555)
(1.281441388888889, 103.86374638888888)
(None, None)
(None, None)
(1.2832430555555554, 103.867965)
(1.2837230555555554, 103.86752805555555)
(1.2841999999999998, 103.86644138888889)
(1.2842580555555554, 103.86612638888889)
(1.28425, 103.86608805555555)
(1.2850080555555554, 103.86450305555555)
(None, None)
(1.284499722222222, 103.86256972222222)
(None, None)
(None, None)
(1.2261880555555558, 103.87113805555555)
(1.2253150000000002, 103.87161138888888)
(1.2199730555555557, 103.87419138888889)
(None, None)
(1.191591388888889, 103.83598638888888)
(1.1847930555555555, 103.81638972222223)
(1.182766388888889, 103.81153972222222)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(3.148516388888889, 101.69492805555556)
(3.1485180555555554, 101.69494)
(3.1484780555555556, 101.69504)
(3.1480180555555557, 101.695035)
(3.148011388888889, 101.69504305555556)
(3.147834722222222, 101.69505805555556)
(3.147279722222222, 101.69515)
(3.1594330555555556, 101.71080500000001)
(None, None)
(3.159845, 101.71054000000001)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(6.256415, 99.73357472222223)
(6.256326388888889, 99.73357472222223)
(None, None)
(None, None)
(None, None)
(6.406603055555556, 99.73128638888889)
(6.40659138888889, 99.73129805555556)
(None, None)
(None, None)
(6.405579722222223, 99.7302313888889)
(6.40408, 99.72944972222223)
(6.404053055555556, 99.72947)
(None, None)
(None, None)
(6.287823055555555, 99.727845)
(None, None)
(None, None)
(6.189903055555556, 99.43583305555556)
(6.166268055555556, 99.38500305555556)
(6.164758055555556, 99.38311138888888)
(6.16433638888889, 99.38262305555556)
(None, None)
(5.423593055555556, 100.26978805555555)
(5.423508055555556, 100.26973138888889)
(5.423578055555556, 100.26955138888889)
(5.423719722222223, 100.26949638888888)
(None, None)
(None, None)
(5.426056388888889, 100.26973138888889)
(5.426033055555556, 100.26978638888889)
(5.425991388888889, 100.26972472222222)
(5.425989722222223, 100.26971472222222)
(5.4259997222222225, 100.2697)
(5.426006388888889, 100.2696663888889)
(5.426013055555556, 100.26970805555555)
(5.42607, 100.26964138888889)
(5.42607, 100.26963638888888)
(5.4260913888888895, 100.26959638888889)
(5.4261180555555555, 100.26952)
(5.426138055555556, 100.26947305555555)
(5.426131388888889, 100.26946805555555)
(5.401163055555556, 100.27484972222223)
(5.401190000000001, 100.27480305555555)
(5.401133055555556, 100.27482305555556)
(5.401006388888889, 100.27491138888888)
(5.400831388888889, 100.27467972222222)
(5.4000263888888895, 100.274125)
(5.399939722222222, 100.27412805555555)
(5.399948055555556, 100.27413138888889)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(5.400065000000001, 100.27410305555556)
(5.400024722222223, 100.27427138888889)
(5.399946388888889, 100.274035)
(5.399871388888889, 100.274065)
(5.399621388888889, 100.27386472222223)
(5.399541388888889, 100.27404972222222)
(5.39953, 100.27404638888889)
(None, None)
(5.3996200000000005, 100.27433972222222)
(5.399673055555556, 100.27439638888889)
(5.399545000000001, 100.27449305555555)
(5.399528055555556, 100.2745063888889)
(None, None)
(5.399548055555556, 100.27390638888889)
(None, None)
(None, None)
(5.399678055555556, 100.27364305555555)
(5.399803055555556, 100.273555)
(5.399821388888889, 100.27361138888888)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(12.173969999999999, 83.817695)
(12.174878055555554, 83.81406138888889)
(12.183943055555556, 83.77957138888888)
(12.18396, 83.77914305555555)
(12.184153055555555, 83.77821972222222)
(12.184353055555556, 83.77713638888889)
(12.184618055555555, 83.77613138888888)
(12.18783, 83.76370305555555)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(13.03404638888889, 80.26815638888888)
(13.034111388888888, 80.26812472222223)
(None, None)
(13.0339, 80.26810972222222)
(None, None)
(None, None)
(None, None)
